id,Woi,CAPEX,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
0,15.83365957,55.80315998,9,without,without,without,SAG,14,4,with,0,BallMill,27,0.7,,,,
1,12.22908174,80.04074331,9,with,without,without,SAG,14,4,with,0,BallMill,27,0.7,,,,
2,15.80169064,60.58186642,9,without,with,without,SAG,14,4,with,0,BallMill,27,0.7,,,,
3,11.6439936,89.44058041,9,without,without,without,SAG,14,4,with,0,HPGR_Fines,27,0.7,,,,
4,14.15788629,62.52833372,9,without,without,without,SAG,14,4,with,0,Mono_Roll,27,0.7,,,,
5,12.34483011,65.98559832,9,without,without,without,CAHM,14,4,,,BallMill,27,0.7,,,,
6,18.80997516,560.8005793,9,without,without,with,HPGR,,4,,,BallMill,29,0.7,7,7,4,2.4
7,14.03396154,1371.102925,0,with,without,without,SAG,11.71870468,9,without,,BallMill,32,0.755606364,,,,
8,13.60582469,1033.618273,0,without,with,without,HPGR,,7,,,Mono_Roll,28,0.683339926,,7,2.395671059,2.191203174
9,10.82813999,2181.920743,3,with,with,without,SAG,10.95642969,4,with,7,Mono_Roll,29,0.727034931,,,,
10,10.00162969,1949.09158,4,without,without,without,SAG,10.39646897,8,without,,HPGR_Fines,28,0.768630205,,,,
11,12.38040348,1513.894767,6,without,without,with,CAHM,13.98302716,0,,,HPGR_Fines,37,0.773790734,9,,,
12,508.7684405,38877.55017,4,with,with,with,CAHM,13.23034048,3,,,BallMill,36,0.777787696,0,,,
13,17.71827901,2064.299121,4,without,with,with,SAG,13.53451279,0,without,,BallMill,31,0.706139168,7,,,
14,13.82559904,3020.616409,6,with,with,without,SAG,15.06762647,6,without,,BallMill,28,0.770883189,,,,
15,15.9571045,1572.968871,5,without,with,without,SAG,15.1888883,2,without,,Mono_Roll,30,0.724904621,,,,
16,49.6936021,18175.68523,10,without,without,with,HPGR,,1,,,Mono_Roll,29,0.737723744,4,6,2.091240646,2.850033418
17,9.085396963,545.3819059,0,with,without,without,SAG,12.27641874,5,without,,HPGR_Fines,29,0.753819585,,,,
18,14.83476038,2734.728739,4,with,with,without,SAG,17.75749466,5,with,5,BallMill,30,0.750888438,,,,
19,18.06838154,95.82594209,9,without,without,without,CAHM,11.87892734,8,,,BallMill,36,0.742655682,,,,
20,19.71715298,5305.044736,4,with,without,with,HPGR,,5,,,BallMill,27,0.767087296,5,7,2.543599841,3.19702265
21,9.551948711,1638.620256,5,with,without,without,SAG,11.29704399,6,without,,HPGR_Fines,33,0.745200627,,,,
22,19.47203486,1199.641177,8,without,with,with,HPGR,,1,,,BallMill,31,0.741293758,9,4,2.936630622,1.702872474
23,14.82889417,139.2630956,2,without,without,without,HPGR,,4,,,Mono_Roll,33,0.693544652,,3,2.871410058,0.934305176
